   Time[s]           u[ft/s]           v[ft/s]           w[ft/s]           p[rad/s]          q[rad/s]          r[rad/s]          x[ft]             y[ft]             z[ft]             eo                e1                e2                e3
   1.000000000E+00   1.650254779E+02   2.936159565E-01   3.056692174E-01  -9.826471458E-03  -1.623395137E-01   9.472282928E-02   1.632344921E+02  -4.383864973E+00  -5.443403854E+02   9.645043005E-01   2.490182043E-01   8.063518709E-02  -3.491926298E-02
   1.050000000E+00   1.646919898E+02   2.728231327E-01   2.258065784E-01  -7.980567934E-03  -1.771685206E-01   9.514405065E-02   1.713601533E+02  -4.602074825E+00  -5.457081837E+02   9.649748695E-01   2.488430268E-01   7.593921226E-02  -3.367321242E-02
   1.100000000E+00   1.643737310E+02   2.515124098E-01   1.129054295E-01  -6.201255964E-03  -1.801008461E-01   9.549770484E-02   1.794822220E+02  -4.819149194E+00  -5.469970619E+02   9.654275572E-01   2.486989403E-01   7.101923407E-02  -3.247671838E-02
   1.150000000E+00   1.640709518E+02   2.302413308E-01   5.397318830E-02  -4.661170831E-03  -1.734950372E-01   9.578030512E-02   1.876009405E+02  -5.035917137E+00  -5.482055417E+02   9.658412818E-01   2.485910104E-01   6.615087128E-02  -3.126004117E-02
   1.200000000E+00   1.637838865E+02   2.095644033E-01   7.092902474E-02  -3.310349660E-03  -1.652959730E-01   9.598934981E-02   1.957164256E+02  -5.252791837E+00  -5.493328783E+02   9.662093382E-01   2.485183279E-01   6.147198516E-02  -2.998917201E-02
   1.250000000E+00   1.635125403E+02   1.900119594E-01   1.276932357E-01  -2.008325596E-03  -1.618583680E-01   9.612698405E-02   2.038286566E+02  -5.469622401E+00  -5.503793350E+02   9.665377179E-01   2.484766136E-01   5.693688157E-02  -2.867758357E-02
   1.300000000E+00   1.632568277E+02   1.720568980E-01   1.735483624E-01  -6.715129018E-04  -1.642407865E-01   9.619994543E-02   2.119375590E+02  -5.685972088E+00  -5.513456926E+02   9.668358011E-01   2.484616738E-01   5.240836225E-02  -2.736227323E-02
   1.350000000E+00   1.630167277E+02   1.560928284E-01   1.817235602E-01   6.682431684E-04  -1.692592887E-01   9.621722287E-02   2.200430870E+02  -5.901494794E+00  -5.522325753E+02   9.671088368E-01   2.484709230E-01   4.778020347E-02  -2.607202419E-02
   1.400000000E+00   1.627922824E+02   1.424277808E-01   1.592206468E-01   1.904145335E-03  -1.730051310E-01   9.618790139E-02   2.281452515E+02  -6.116127314E+00  -5.530401042E+02   9.673564594E-01   2.485026255E-01   4.303850323E-02  -2.481154714E-02
   1.450000000E+00   1.625835696E+02   1.312877848E-01   1.310133525E-01   2.934543065E-03  -1.736725486E-01   9.612042197E-02   2.362440985E+02  -6.330031776E+00  -5.537679979E+02   9.675758004E-01   2.485543548E-01   3.824151230E-02  -2.356671115E-02
   1.500000000E+00   1.623906793E+02   1.228195674E-01   1.176238826E-01   3.716698916E-03  -1.720581325E-01   9.602299714E-02   2.443396727E+02  -6.543409631E+00  -5.544159079E+02   9.677651324E-01   2.486221807E-01   3.345833456E-02  -2.232038431E-02
   1.550000000E+00   1.622136715E+02   1.170862727E-01   1.230610135E-01   4.267760356E-03  -1.701796011E-01   9.590423237E-02   2.524319987E+02  -6.756352576E+00  -5.549836875E+02   9.679252090E-01   2.487009999E-01   2.872058576E-02  -2.106490749E-02
   1.600000000E+00   1.620525599E+02   1.140609799E-01   1.376026129E-01   4.629963665E-03  -1.695479385E-01   9.577323955E-02   2.605210839E+02  -6.968816311E+00  -5.554714412E+02   9.680583099E-01   2.487854625E-01   2.401457112E-02  -1.980410634E-02
   1.650000000E+00   1.619073369E+02   1.136261373E-01   1.486761910E-01   4.834729756E-03  -1.703412348E-01   9.563918465E-02   2.686069314E+02  -7.180693821E+00  -5.558793918E+02   9.681666517E-01   2.488707120E-01   1.930577422E-02  -1.854697835E-02
   1.700000000E+00   1.617780007E+02   1.155813759E-01   1.500351108E-01   4.889403728E-03  -1.717234626E-01   9.551063160E-02   2.766895491E+02  -7.391907331E+00  -5.562077143E+02   9.682515583E-01   2.489525594E-01   1.456896962E-02  -1.729994399E-02
